GAME.#,POSS.#,PLAY.ID,SHOT.CLOCK.THIRD,SHOT.TYPE,CONTESTED?,PAINT.TOUCH,CAUSE.OF.PAINT,PAINT.ATTACKER,DEFENDER-ATTACKER,PLAY.RESULT,POINT.RESULT
22,8,12,:20 - :11,N/A,N/A,FALSE,N/A,N/A,N/A,Turnover,0
22,9,13,:30 - :21,N/A,N/A,FALSE,N/A,N/A,N/A,Floor Foul,0
22,9,14,:20 - :11,N/A,N/A,FALSE,N/A,N/A,N/A,Turnover,0
22,10,15,:20 - :11,Off-the-dribble (3),FALSE,FALSE,N/A,N/A,N/A,Made 3,3
22,11,16,:30 - :21,N/A,N/A,TRUE,P&R Ball Handler,2 Matt Coleman III,Opponent-Guard,Turnover,0
22,12,17,:20 - :11,Catch-and-shoot,TRUE,FALSE,N/A,N/A,N/A,Missed 2,0
22,12,18,:20 - :11,N/A,N/A,TRUE,Offensive Rebound,22 Kai Jones,Opponent-Guard,Floor Foul,0
22,12,19,:20 - :11,N/A,N/A,FALSE,N/A,N/A,N/A,Turnover,0
22,13,20,:20 - :11,Catch-and-shoot,TRUE,FALSE,N/A,N/A,N/A,Missed 3,0
22,14,21,:30 - :21,N/A,N/A,FALSE,N/A,N/A,N/A,No Result,0
22,14,22,:10 - :00,Layup,TRUE,TRUE,Perimeter Drive,3 Courtney Ramey,Opponent-Guard,Shooting Foul,2
22,14,23,:10 - :00,Dunk,TRUE,FALSE,N/A,N/A,N/A,Made 2,2
22,15,24,:30 - :21,Dunk,TRUE,TRUE,Cut,4 Greg Brown,Opponent-Big,Missed 2,0
22,15,25,:30 - :21,Dunk,FALSE,TRUE,Offensive Rebound,22 Kai Jones,N/A,Made 2,2
22,16,26,:30 - :21,Dunk,TRUE,TRUE,Transition,1 Andrew Jones,Opponent-Big,Missed 2,0
22,17,27,:20 - :11,Free Throws,N/A,FALSE,N/A,N/A,N/A,Floor Foul (Bonus),2
22,18,28,:30 - :21,Layup,TRUE,TRUE,Transition,22 Kai Jones,Opponent-Big,Shooting Foul,1
22,19,29,:30 - :21,Off-the-dribble (3),FALSE,FALSE,N/A,N/A,N/A,Assisted 3,3
22,20,30,:30 - :21,Catch-and-shoot,TRUE,FALSE,N/A,N/A,N/A,Assisted 3,3
22,21,31,:30 - :21,Catch-and-shoot,TRUE,FALSE,N/A,N/A,N/A,Missed 3,0
22,22,32,:30 - :21,Layup,TRUE,TRUE,Transition,4 Greg Brown,Opponent-Guard,Shooting Foul,2
22,23,33,:30 - :21,Floater/Runner,TRUE,TRUE,Perimeter Drive,2 Matt Coleman III,Opponent-Guard,Missed 2,0
22,23,34,:10 - :00,N/A,N/A,TRUE,Perimeter Drive,4 Greg Brown,Opponent-Guard,Turnover,0
22,24,35,:20 - :11,Off-the-dribble (3),FALSE,FALSE,N/A,N/A,N/A,Missed 3,0
22,25,36,:20 - :11,N/A,N/A,FALSE,N/A,N/A,N/A,Turnover,0
22,25,37,:10 - :00,Catch-and-shoot,TRUE,FALSE,N/A,N/A,N/A,Missed 2,0
22,26,38,:30 - :21,N/A,N/A,TRUE,Perimeter Drive,3 Courtney Ramey,Opponent-Guard,Charge,0
22,27,39,:30 - :21,N/A,N/A,FALSE,N/A,N/A,N/A,Turnover,0
22,28,40,:20 - :11,Catch-and-shoot,TRUE,TRUE,Perimeter Drive,2 Matt Coleman III,Opponent-Guard,Missed 3,0
22,28,41,:20 - :11,Catch-and-shoot,FALSE,FALSE,N/A,N/A,N/A,Assisted 3,3
22,29,42,:30 - :21,Dunk,FALSE,TRUE,Transition,22 Kai Jones,N/A,Assisted 2,2
22,30,43,:30 - :21,N/A,N/A,FALSE,N/A,N/A,N/A,Turnover,0
22,31,44,:20 - :11,Layup,TRUE,TRUE,Perimeter Drive,2 Matt Coleman III,Opponent-Guard,Missed 2,0
22,31,45,:20 - :11,Layup,TRUE,TRUE,Offensive Rebound,22 Kai Jones,Opponent-Big,Made 2,2
22,32,46,:20 - :11,Catch-and-shoot,FALSE,FALSE,N/A,N/A,N/A,Missed 3,0
22,33,47,:20 - :11,Free Throws,N/A,TRUE,Post-up (inside paint),20 Jericho Sims,Opponent-Big,Floor Foul (Bonus),0
22,34,48,:20 - :11,N/A,N/A,FALSE,N/A,N/A,N/A,Turnover,0
22,35,49,:20 - :11,Dunk,TRUE,TRUE,P&R Ball Handler,1 Andrew Jones,Opponent-Guard,Shooting Foul,2
22,36,50,:20 - :11,N/A,N/A,TRUE,Perimeter Drive,2 Matt Coleman III,Opponent-Guard,Turnover,0
22,37,51,:10 - :00,Off-the-dribble (2),TRUE,FALSE,N/A,N/A,N/A,Missed 2,0
22,38,52,No Shot Clock,Dunk,TRUE,TRUE,Cut,4 Greg Brown,Opponent-Guard,Missed 2,0
22,39,53,No Shot Clock,Layup,TRUE,TRUE,Offensive Rebound,4 Greg Brown,Opponent-Big,Made 2,2
22,40,54,:10 - :00,Catch-and-shoot,TRUE,FALSE,N/A,N/A,N/A,Assisted 3,3
22,41,55,:20 - :11,Layup,TRUE,TRUE,Perimeter Drive,4 Greg Brown,Opponent-Big,Missed 2,0
22,42,56,:20 - :11,Hook (Post),TRUE,TRUE,Post-up (inside paint),20 Jericho Sims,Opponent-Big,Made 2,2
22,43,57,:20 - :11,Off-the-dribble (2),TRUE,FALSE,N/A,N/A,N/A,Made 2,2
22,44,58,:10 - :00,Catch-and-shoot,FALSE,TRUE,Perimeter Drive,2 Matt Coleman III,Opponent-Guard,Missed 3,0
22,45,59,:20 - :11,N/A,N/A,FALSE,N/A,N/A,N/A,Turnover,0
22,46,60,:20 - :11,N/A,N/A,FALSE,N/A,N/A,N/A,Floor Foul,0
22,47,61,:20 - :11,Layup,TRUE,TRUE,Perimeter Drive,1 Andrew Jones,Opponent-Guard,Missed 2,0
22,48,62,:20 - :11,Layup,TRUE,TRUE,Cut,5 Royce Hamm Jr.,Opponent-Big,Missed 2,0
22,48,63,:20 - :11,Catch-and-shoot,TRUE,TRUE,Perimeter Drive,3 Courtney Ramey,Opponent-Guard,Assisted 3,3
22,49,64,:30 - :21,Catch-and-shoot,FALSE,FALSE,N/A,N/A,N/A,Assisted 3,3
22,50,65,:30 - :21,Catch-and-shoot,TRUE,TRUE,Perimeter Drive,3 Courtney Ramey,Opponent-Guard,Missed 3,0
22,50,66,:20 - :11,Dunk,TRUE,TRUE,Cut,3 Courtney Ramey,Opponent-Guard,Assisted 2,3
22,51,67,:20 - :11,N/A,N/A,TRUE,Perimeter Drive,22 Kai Jones,Opponent-Big,Turnover,0
22,52,68,:10 - :00,Layup,TRUE,TRUE,P&R Ball Handler,3 Courtney Ramey,Opponent-Guard,Shooting Foul,2
22,53,69,:30 - :21,N/A,N/A,TRUE,Cut,20 Jericho Sims,Opponent-Big,Turnover,0
22,54,70,:20 - :11,Layup,FALSE,TRUE,Cut,1 Andrew Jones,Opponent-Guard,Assisted 2,2
22,55,71,:30 - :21,N/A,N/A,FALSE,N/A,N/A,N/A,Offensive Foul,0
22,56,72,:30 - :21,Off-the-dribble (3),TRUE,FALSE,N/A,N/A,N/A,Missed 3,0
22,57,73,:10 - :00,N/A,N/A,TRUE,Perimeter Drive,2 Matt Coleman III,Opponent-Guard,Floor Foul,0
22,58,74,:20 - :11,Off-the-dribble (2),TRUE,FALSE,N/A,N/A,N/A,Missed 2,0
22,59,75,:20 - :11,Catch-and-shoot,FALSE,TRUE,N/A,3 Courtney Ramey,Opponent-Guard,Assisted 3,3
22,60,76,:10 - :00,Layup,TRUE,TRUE,Post-up (inside paint),22 Kai Jones,Opponent-Guard,Shooting Foul,2
22,61,77,:30 - :21,Catch-and-shoot,FALSE,TRUE,P&R Ball Handler,3 Courtney Ramey,Opponent-Guard,Missed 3,0
22,62,78,:20 - :11,Catch-and-shoot,TRUE,FALSE,N/A,N/A,N/A,Missed 3,0
22,63,79,:30 - :21,Layup,FALSE,TRUE,Transition,1 Andrew Jones,Opponent-Guard,Assisted 2,2
